date,ticker,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume
,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
2023-03-24,RELIANCE.NS,1006.2489624023438,1027.576912471852,1003.8284739098798,1025.407569139633,12375945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,RELIANCE.NS,1021.890869140625,1029.403600110522,1004.8331730655614,1012.7340978411819,14054323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28,RELIANCE.NS,1026.66357421875,1030.5455126606203,1021.6398252228872,1025.2934498743377,12576424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29,RELIANCE.NS,1020.5894165039062,1025.2020796750248,1009.8112544521273,1022.5531566178206,18804065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,RELIANCE.NS,1064.592529296875,1070.2556776772944,1029.7234568382642,1029.8604451118008,28171201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,RELIANCE.NS,1064.775146484375,1072.790289041918,1057.2624150481104,1070.9635371842667,10293043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-05,RELIANCE.NS,1062.2176513671875,1072.3335221459333,1054.3167866381084,1072.3335221459333,16262928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06,RELIANCE.NS,1069.3421630859375,1075.0738055075433,1058.7010494721283,1058.7010494721283,18435046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,RELIANCE.NS,1061.7608642578125,1073.4296307040627,1060.2537517759718,1073.246979688309,12961408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
